Regeion,Delivery points
WEST GODAVARI - 1,Ganapavaram
WEST GODAVARI - 1,Undi
WEST GODAVARI - 1,Yandagandi
WEST GODAVARI - 1,Korukollu
WEST GODAVARI - 1,Juttiga
WEST GODAVARI - 1,Bhimavaram
WEST GODAVARI - 1,Gollavanitippa
WEST GODAVARI - 1,Ramayanapuram
WEST GODAVARI - 1,"Eelampudi,Komarada"
WEST GODAVARI - 1,Juvvalapalem
WEST GODAVARI - 1,Loasari
WEST GODAVARI - 1,AKIVEEDU
WEST GODAVARI - 1,Kommuchikkala
WEST GODAVARI - 1,Siva Devuni Chikkala
WEST GODAVARI - 1,Veeravasaram
WEST GODAVARI - 1,Mastyapuri
WEST GODAVARI - 1,Kopparru
WEST GODAVARI - 1,Pattepuram
WEST GODAVARI - 1,Eluru
WEST GODAVARI - 1,Denduluru
WEST GODAVARI - 1,Jayapuram
WEST GODAVARI - 1,ATTILI
WEST GODAVARI - 1,PIPPARA
WEST GODAVARI - 1,KOMMARA
WEST GODAVARI - 1,KASIPADU
WEST GODAVARI - 1,PEDAKAPAVARAM
WEST GODAVARI - 1,KOLAMURU
WEST GODAVARI - 1,KESAVARAM
WEST GODAVARI - 1,YANDAGANDI
WEST GODAVARI - 1,RAYAKUDURU
WEST GODAVARI - 1,KALIGATLA
WEST GODAVARI - 1,NIDAMARRU
WEST GODAVARI - 1,KOLLAPARRU
WEST GODAVARI - 1,CHERUKUMILLI
WEST GODAVARI - 1,KALUVAPUDI
WEST GODAVARI - 1,CHATAPARRU
WEST GODAVARI - 1,VADDIGUDEM
WEST GODAVARI - 1,GUNAPARRU
WEST GODAVARI - 1,RACHURU
WEST GODAVARI - 1,KOVVALI
WEST GODAVARI - 1,KONIKI
WEST GODAVARI - 1,BAVAIPALEM
WEST GODAVARI - 1,KANTERU
WEST GODAVARI - 1,PENUMANTRA
WEST GODAVARI - 1,NELAPOGULA
WEST GODAVARI - 1,NARAYANAPURAM
WEST GODAVARI - 1,"VISAKODERU,NEAR BHIMAVARAM"
WEST GODAVARI - 1,THOLERU NEAR VEERAVASARAM
WEST GODAVARI - 1,"PENNADA, NEAR BHIMAVARAM"
WEST GODAVARI - 1,BHIMADOLE
