Material Name,Material Code,Item Category,Item Group,UOM
018 F 6701 COIL - 220V (DANFOSS),018 F 6701 COIL - 220V (DANFOSS),INDIGENOUS,PROJECT MATERIALS,NOS
018 F 6801 COIL-12W 230V (DANFOSS),018 F 6801 COIL-12W 230V (DANFOSS),INDIGENOUS,PROJECT MATERIALS,NOS
020 2006 NRVA 65 (DANFOSS),020 2006 NRVA 65 (DANFOSS),INDIGENOUS,PROJECT MATERIALS,NOS
027 B 1120 EVMNC (DANFOSS),027 B 1120 EVMNC (DANFOSS),INDIGENOUS,PROJECT MATERIALS,NOS
027 B 2024 SV 4 FLOAT (DANFOSS),027 B 2024 SV 4 FLOAT (DANFOSS),INDIGENOUS,PROJECT MATERIALS,NOS
027 F 0118 PMFL 80-5 VALVE(DANFOSS),027 F 0118 PMFL 80-5 VALVE(DANFOSS),INDIGENOUS,PROJECT MATERIALS,NOS
027 F 0118 STRONG SPRING(DANFOSS),027 F 0118 STRONG SPRING(DANFOSS),INDIGENOUS,PROJECT MATERIALS,NOS
027 H 0180 MUTIFUNCTIO TOOL (DANFOSS),027 H 0180 MUTIFUNCTIO TOOL (DANFOSS),INDIGENOUS,PROJECT MATERIALS,NOS
027 H 1030 ICM 20A VALVE (DANFOSS),027 H 1030 ICM 20A VALVE (DANFOSS),INDIGENOUS,PROJECT MATERIALS,NOS
027 H 1174 TOP COVER BLIND,027 H 1174 TOP COVER BLIND,INDIGENOUS,PROJECT MATERIALS,NOS
027 H 1190 SERVICE KIT VALVE (DANFOSS),027 H 1190 SERVICE KIT VALVE (DANFOSS),INDIGENOUS,PROJECT MATERIALS,NOS
027 H 1200 ICAD 600 VALVE(DANFOSS),027 H 1200 ICAD 600 VALVE(DANFOSS),INDIGENOUS,PROJECT MATERIALS,NOS
027 N 2332 FLANGE SET (DANFOSS),027 N 2332 FLANGE SET (DANFOSS),INDIGENOUS,PROJECT MATERIALS,NOS
032 F 6215 +027 N 1120 EVRA 15 (DANFOSS),032 F 6215 +027 N 1120 EVRA 15 (DANFOSS),INDIGENOUS,PROJECT MATERIALS,NOS
032 F 6220 +027 N 1220 EVRA 20 (DANFOSS),032 F 6220 +027 N 1220 EVRA 20 (DANFOSS),INDIGENOUS,PROJECT MATERIALS,NOS
032 F 6225 +027 N 1225 EVRA 25 WITH FLANGES(DANFOSS),032 F 6225 +027 N 1225 EVRA 25 WITH FLANGES(DANFOSS),INDIGENOUS,PROJECT MATERIALS,NOS
042 H 1131 +027 N 2340 EVRA 32 (DANFOSS),042 H 1131 +027 N 2340 EVRA 32 (DANFOSS),INDIGENOUS,PROJECT MATERIALS,NOS
060 G 2100 AKS 33 (DANFOSS),060 G 2100 AKS 33 (DANFOSS),INDIGENOUS,PROJECT MATERIALS,NOS
1 COAT OF PRIMER AND 2 COATS OF EPOXY PAINT,1 COAT OF PRIMER AND 2 COATS OF EPOXY PAINT,INDIGENOUS,PROJECT MATERIALS,MT
1 DRAWER IN MATT LACQUER WITH DIAMOND CLEAR LED MIRROR WIDTH 4 FT X HIGHT 10 FT,1 DRAWER IN MATT LACQUER WITH DIAMOND CLEAR LED MIRROR WIDTH 4 FT X HIGHT 10 FT,INDIGENOUS,PROJECT MATERIALS,NOS
1 MM HDPE LINER - SQMTR,1 MM HDPE LINER - SQMTR,INDIGENOUS,PROJECT MATERIALS,SQMTRS
"1 MM HDPE LINER, LENGTH 210â€ X WIDTH 7.1â€","1 MM HDPE LINER, LENGTH 210â€ X WIDTH 7.1â€",INDIGENOUS,PROJECT MATERIALS,MTRS
1 SQ.MM X 24 CORE COPPER AROMOUED CABLE,1 SQ.MM X 24 CORE COPPER AROMOUED CABLE,INDIGENOUS,PROJECT MATERIALS,MTRS
1 SQMM COPPER WIRE,1 SQMM COPPER WIRE,INDIGENOUS,PROJECT MATERIALS,COIL
1 U BLANK PLATES,1 U BLANK PLATES,INDIGENOUS,PROJECT MATERIALS,NOS
1 U RACK SHELF BLACK COLOUR,1 U RACK SHELF BLACK COLOUR,INDIGENOUS,PROJECT MATERIALS,NOS
1 X 3/4 INCH REDUCER SOCKET,1 X 3/4 INCH REDUCER SOCKET,INDIGENOUS,PROJECT MATERIALS,NOS
1.0 SQ MM X 16 CORE COPPER FLEXIBLE CABLE,1.0 SQ MM X 16 CORE COPPER FLEXIBLE CABLE,INDIGENOUS,PROJECT MATERIALS,MTRS
1.25 INCH CPVC MABT,1.25 INCH CPVC MABT,INDIGENOUS,PROJECT MATERIALS,NOS
1.5 SQ MM 3 CORE COPPER ARMOURED CABLE - P,1.5 SQ MM 3 CORE COPPER ARMOURED CABLE - P,INDIGENOUS,PROJECT MATERIALS,MTRS
1.5 SQ MM CONNECTOR STRIP,1.5 SQ MM CONNECTOR STRIP,INDIGENOUS,PROJECT MATERIALS,NOS
1.5 SQ MM X 2 CORE SHIELD ARMOUD CABLE,1.5 SQ MM X 2 CORE SHIELD ARMOUD CABLE,INDIGENOUS,PROJECT MATERIALS,MTRS
1.5 SQ.MM X 12 CORE ARMOURED CABLE,1.5 SQ.MM X 12 CORE ARMOURED CABLE,INDIGENOUS,PROJECT MATERIALS,MTRS
1.5 SQ.MM X 16 CORE COPPER AROMOUED CABLE,1.5 SQ.MM X 16 CORE COPPER AROMOUED CABLE,INDIGENOUS,PROJECT MATERIALS,MTRS
1.5 SQ.MM X 24 CORE COPPER AROMOUED CABLE,1.5 SQ.MM X 24 CORE COPPER AROMOUED CABLE,INDIGENOUS,PROJECT MATERIALS,MTRS
1.5 SQ.MM X 4 CORE COPPER AROMOUED CABLE,1.5 SQ.MM X 4 CORE COPPER AROMOUED CABLE,INDIGENOUS,PROJECT MATERIALS,MTRS
1.5 X 1.25 INCH REDUCER SOCKET,1.5 X 1.25 INCH REDUCER SOCKET,INDIGENOUS,PROJECT MATERIALS,NOS
1.5 X1.5 INCH CP EXTENSION NIPPLE,1.5 X1.5 INCH CP EXTENSION NIPPLE,INDIGENOUS,PROJECT MATERIALS,NOS
1/2 INCH DOUBLE SAFETY VALVE INC. STOP VALVE(SUPER) 18 BAR,1/2 INCH DOUBLE SAFETY VALVE INC. STOP VALVE(SUPER) 18 BAR,INDIGENOUS,PROJECT MATERIALS,NOS
1/2 INCH X 1 INCH CP EXTENSION NIPPLE,1/2 INCH X 1 INCH CP EXTENSION NIPPLE,INDIGENOUS,PROJECT MATERIALS,NOS
1/2 INCH X 4 INCH CP EXTENSION NIPPLE,1/2 INCH X 4 INCH CP EXTENSION NIPPLE,INDIGENOUS,PROJECT MATERIALS,NOS
10 A MODULAR SOCKETS MAGNESIUM GRY COLOUR (LEGRAND ARTEOR MAKE),10 A MODULAR SOCKETS MAGNESIUM GRY COLOUR (LEGRAND ARTEOR MAKE),INDIGENOUS,PROJECT MATERIALS,NOS
10 A MODULAR SOCKETS WHITE COLOUR (LEGRAND ARTEOR MAKE),10 A MODULAR SOCKETS WHITE COLOUR (LEGRAND ARTEOR MAKE),INDIGENOUS,PROJECT MATERIALS,NOS
10 A MODULAR SWITCHES MAGNESIUM GRY COLOUR (LEGRAND ARTEOR MAKE),10 A MODULAR SWITCHES MAGNESIUM GRY COLOUR (LEGRAND ARTEOR MAKE),INDIGENOUS,PROJECT MATERIALS,NOS
