Material Name,Material Code,Item Category,Item Group,UOM
"'D"" MAG PET SPRAY 120 ML","'D"" MAG PET SPRAY 120 ML",GENERAL,STORES AND SPARES-IND,NOS
(02042767)INSTALL TILT LOCK VA MH02049427,(02042767)INSTALL TILT LOCK VA MH02049427,MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
(02103309)CLEVIS PIN 2TE - L + COTTER PINS MH02019619,(02103309)CLEVIS PIN 2TE - L + COTTER PINS MH02019619,MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
(02142559)DOWTY SEAL â€“ MH02016621,(02142559)DOWTY SEAL â€“ MH02016621,MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
(02171430)SPRING RETAINER MH02014429,(02171430)SPRING RETAINER MH02014429,MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
(552040030-00) HEX HEAD SCREW SS 304 M6X20,(552040030-00) HEX HEAD SCREW SS 304 M6X20,MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
(552250003-00) HEX LOCK NUT - STEEL GR. 08 - M6,(552250003-00) HEX LOCK NUT - STEEL GR. 08 - M6,MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
(552250009-00) HEX LOCK NUT - STEEL GR. 08 - M10,(552250009-00) HEX LOCK NUT - STEEL GR. 08 - M10,MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
(552330003-00) COTTER PIN - STEEL - 2X16,(552330003-00) COTTER PIN - STEEL - 2X16,MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
(552330015-00) COTTER PIN - STEEL - 4 X 63,(552330015-00) COTTER PIN - STEEL - 4 X 63,MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
(552350029-00) WASHER STEEL 6.4X25X1.6,(552350029-00) WASHER STEEL 6.4X25X1.6,MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
(552360022-00) WASHER-6.4X18X1.6 SS 304,(552360022-00) WASHER-6.4X18X1.6 SS 304,MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
(552480008-00) HEX NYLOCK NUT STEEL - M8,(552480008-00) HEX NYLOCK NUT STEEL - M8,MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
(552610055-00) DG BALL BEARING 6200 - 2RS,(552610055-00) DG BALL BEARING 6200 - 2RS,MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
(552610063-00) IGUS BEARING - IGLIDUR GSM-1214-15,(552610063-00) IGUS BEARING - IGLIDUR GSM-1214-15,MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
(552670107-00) CIRCLIP - A25,(552670107-00) CIRCLIP - A25,MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
(552670108-00) CIRCLIP - A14,(552670108-00) CIRCLIP - A14,MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
(552850006-00) HEX HEAD SCREW STEEL - 8.8 M6 X 25,(552850006-00) HEX HEAD SCREW STEEL - 8.8 M6 X 25,MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
(552850012-00) HEX HEAD SCREW STEEL - 8.8 M8 X 40,(552850012-00) HEX HEAD SCREW STEEL - 8.8 M8 X 40,MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
(552850201-00) WASHER - EN8 - 6.4x12.5x1.6,(552850201-00) WASHER - EN8 - 6.4x12.5x1.6,MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
(552850201-00) WASHER - EN8 6.4x12.5x1.6,(552850201-00) WASHER - EN8 6.4x12.5x1.6,MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
(552850202-00) WASHER - EN8 6.4x18x1.6,(552850202-00) WASHER - EN8 6.4x18x1.6,MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
(552850205-00) WASHER - EN8 - 10.5x20x2,(552850205-00) WASHER - EN8 - 10.5x20x2,MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
(552850304-00) CR PAN HEAD SCREW - STEEL - M6 X 16,(552850304-00) CR PAN HEAD SCREW - STEEL - M6 X 16,MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
(552850304-00) CR PAN HEAD SCREW STEEL - M6 X 16,(552850304-00) CR PAN HEAD SCREW STEEL - M6 X 16,MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
(552850401-00) CR CSK HEAD SCREW STEEL - M6 X 16,(552850401-00) CR CSK HEAD SCREW STEEL - M6 X 16,MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
(552850801-00) HEX NUT - STEEL GR. 8 - M6,(552850801-00) HEX NUT - STEEL GR. 8 - M6,MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
(552850803-00) HEX NUT - STEEL GR. 8 - M10,(552850803-00) HEX NUT - STEEL GR. 8 - M10,MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
(552851001-00) HEX FLANGE HD SCREW - STEEL 8.8 - M10x30,(552851001-00) HEX FLANGE HD SCREW - STEEL 8.8 - M10x30,MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
(553210006-00)KEY,(553210006-00)KEY,MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
