Location,Unit/Plant,Category,Brand Name,Grade,Finished Goods Name,SHIFT,LOT Number,LOT Date,Bags,Bags Wt in MKT,Qty,UOM,BAY Number,QC Approved Regeion
Kovvuru,Unit-1,FINISHED GOODS - SHRIMP FEED,MANAMEI,MANAMEI - 2 25KG,MANAMEI - 2,C,2526K10555,13-12-2025,30,0.025, 0.750 ,MT,FGFK1A2,All Regeions
Kovvuru,Unit-1,FINISHED GOODS - SHRIMP FEED,MANAMEI,MANAMEI - 3SP 25KG,MANAMEI - 3SP,A,2526K10533,08-12-2025,117,0.025, 2.925 ,MT,FGFK1B3,All Regeions
Kovvuru,Unit-1,FINISHED GOODS - SHRIMP FEED,MANAMEI,MANAMEI - 3SP 25KG,MANAMEI - 3SP,B,2526K10533,08-12-2025,184,0.025, 4.600 ,MT,FGFK1B3,All Regeions
Kovvuru,Unit-1,FINISHED GOODS - SHRIMP FEED,MANAMEI,MANAMEI - 3SP 25KG,MANAMEI - 3SP,C,2526K10535,09-12-2025,160,0.025, 4.000 ,MT,FGFK1B4,All Regeions
Kovvuru,Unit-1,FINISHED GOODS - SHRIMP FEED,MANAMEI,MANAMEI - 3SP 25KG,MANAMEI - 3SP,A,2526K10537,09-12-2025,145,0.025, 3.625 ,MT,FGFK1B4,All Regeions
Kovvuru,Unit-1,FINISHED GOODS - SHRIMP FEED,MANAMEI,MANAMEI - 3SP 25KG,MANAMEI - 3SP,B,2526K10539,09-12-2025,149,0.025, 3.725 ,MT,FGFK1B5,All Regeions
Kovvuru,Unit-1,FINISHED GOODS - SHRIMP FEED,MANAMEI,MANAMEI - 3SP 25KG,MANAMEI - 3SP,C,2526K10541,09-12-2025,180,0.025, 4.500 ,MT,FGFK1B6,All Regeions
Kovvuru,Unit-1,FINISHED GOODS - SHRIMP FEED,MANAMEI,MANAMEI - 3SP 25KG,MANAMEI - 3SP,A,2526K10543,09-12-2025,170,0.025, 4.250 ,MT,FGFK1B7,All Regeions
Kovvuru,Unit-1,FINISHED GOODS - SHRIMP FEED,MANAMEI,MANAMEI - 3SP 25KG,MANAMEI - 3SP,B,2526K10545,09-12-2025,6,0.025, 0.150 ,MT,FGFK1B7,All Regeions
Kovvuru,Unit-1,FINISHED GOODS - SHRIMP FEED,MANAMEI,MANAMEI - 3P 25KG,MANAMEI - 3P,C,2526K10536,09-12-2025,164,0.025, 4.100 ,MT,FGFK1B1,All Regeions
Kovvuru,Unit-1,FINISHED GOODS - SHRIMP FEED,MANAMEI,MANAMEI - 3P 25KG,MANAMEI - 3P,A,2526K10538,09-12-2025,165,0.025, 4.125 ,MT,FGFK1B1,All Regeions
Kovvuru,Unit-1,FINISHED GOODS - SHRIMP FEED,MANAMEI,MANAMEI - 3P 25KG,MANAMEI - 3P,B,2526K10540,09-12-2025,166,0.025, 4.150 ,MT,FGFK1B2,All Regeions
Kovvuru,Unit-1,FINISHED GOODS - SHRIMP FEED,MANAMEI,MANAMEI - 3P 25KG,MANAMEI - 3P,C,2526K10542,09-12-2025,85,0.025, 2.125 ,MT,FGFK1B2,All Regeions
